ID,Gender,MaoPI,Ethnic,PTJob,CigsOk,AlcOk,DrugsBad,SchoolPercept,SchoolPercAlt,PhysActive,PhysActAlt,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FatherSmoke1,OtherMaleSmok1,MotherSmoke1,OtherFemSmok1,BroSmoke1,SisSmoke1,MaleSmokB,DadSmokB,MomSmokB,FemaleSmokB,BroSmokB,SisSmokB,ParentAdQuitSmok,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,MaleDrink1,FatherDrink1,MotherDrink1,FemDrink1,OldBroDrink1,OldSisDrink1,ParentAdDrink,FemaleDrink,MaleDrink,SiblingDrink,ParentAdQuitDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,MaleDrinkB,FatherDrinkB,MotherDrinkB,FemDrinkB,OldBroDrinkB,OldSisDrinkB,MaleQuitD,FatherQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
48,2,2,2,1,1,1,2,93,4,47,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,1,1,2,1,1,2,101,4,54,3,19,101,2,2,1,1,1,3,1,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,2,3,1,1,1,2,36,2,84,4,1,1,1,1,1,1,1,3,1,2,1,2,1,0,1,2,1,1,2,1,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,0,0,0,0,0,0
55,2,1,1,2,1,1,2,101,4,51,3,92,83,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,1,1,2,1,1,2,80,4,62,3,33,70,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
58,2,1,1,2,1,1,2,51,3,51,3,16,52,2,2,2,2,1,2,1,2,1,2,0,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,0,1,0,0,0,0
59,1,2,3,1,2,2,1,101,4,101,4,1,1,1,1,1,1,2,4,2,2,1,2,0,0,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0
60,2,2,2,1,1,1,2,71,3,65,3,1,1,1,1,1,1,3,3,2,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,0,0,0,0,0,0
