ID,Gender,MaoPI,Ethnic,PTJob,CigsOk,AlcOk,DrugsBad,SchoolPercept,SchoolPercAlt,PhysActive,PhysActAlt,ContWorkSmok,ContWorkDrink,WorkerSmoke,WorkerDrink,WorkQuitSmoke,WorkQuitDrink,ContPersSmoke,ContPersDrink,PersonSmoke,PersonDrink,PosSmoke,Pos Drink,OtherMaleSmok,FatherSmoke,MotherSmoke,OtherFemSmok,BroSmoke,SisSmoke,Adult Smoke,Sibling Smoke,FemaleSmoke,MaleSmoke,FatherSmoke1,OtherMaleSmok1,MotherSmoke1,OtherFemSmok1,BroSmoke1,SisSmoke1,MaleSmokB,DadSmokB,MomSmokB,FemaleSmokB,BroSmokB,SisSmokB,ParentAdQuitSmok,FemQuitSmok,MaleQuitSmok,SibQuitSmoke,MaleDrink1,FatherDrink1,MotherDrink1,FemDrink1,OldBroDrink1,OldSisDrink1,ParentAdDrink,FemaleDrink,MaleDrink,SiblingDrink,ParentAdQuitDrink,FemQuitDrink,MaleQuitDrink,SibQuitDrink,MaleDrinkB,FatherDrinkB,MotherDrinkB,FemDrinkB,OldBroDrinkB,OldSisDrinkB,MaleQuitD,FatherQuitD,MomQuitD,FemaleQuitD,BroQuitD,SisQuitD
48,2,2,2,2,1,1,2,99,4,45,2,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,2,2,3,1,1,1,2,55,3,100,4,26,53,2,2,Yes,Yes,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,3,3,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
50,2,1,1,2,1,2,1,91,4,99,4,1,1,1,1,,,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,3,1,3,1,1,2,1,1,2,1,1,2,2,2,1,3,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1
51,2,1,1,1,1,1,2,68,3,100,4,1,48,1,2,,No,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,2,1,1,2,1,1,2,66,3,63,3,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1
53,2,1,1,2,1,1,2,49,2,49,2,1,1,1,1,,,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
54,2,2,3,2,1,1,2,74,3,100,4,1,1,1,1,,,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
55,2,1,1,1,1,1,2,72,3,33,2,72,94,2,2,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,2,2,1,1,1,2,23,1,99,4,51,86,2,2,Yes,Yes,1,2,1,2,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,1
57,2,1,1,1,1,1,2,76,3,53,3,52,67,2,2,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
